name,musicbrainz_artist_id,musicbrainz_mbid,spotify_id,performer_pre_normalized,first_top_20_hit_year,first_charting_song_year,last_charting_song_year,years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,first_song_year,years_active_on_charts,first_charting_song_position,first_charting_song_duration,top_20_hit_song_#_wks_on_chart_any_position,genre_tags_musicbrainz,first_year_on_chart_songs,genre_tags_through_first_top_10_hit,major_genre_categories_through_first_top_10_hit,#_of_major_genre_categories_through_first_top_10_hit,musicbrainz_major_genre_categories,musicbrainz_#_of_genres,spotify_genres,spotify_major_genre_categories,combined_major_genre_categories,first_top_20_song_major_genres,first_top_20_song_duration_ms,first_top_20_song_acousticness,first_top_20_song_danceability,first_top_20_song_energy,first_top_20_song_instrumentalness,first_top_20_song_liveness,first_top_20_song_loudness,first_top_20_song_speechiness,first_top_20_song_tempo,first_top_20_song_valence,first_top_20_song_mode,first_top_20_song_explicit,degree_centrality_top20_rolling5,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,power_of_connected_artists_top20_rolling5,top_20_hitmaker
2 unlimited,683.0,515b236c-cce1-4dc2-aedd-50de7b1736e2,,2 Unlimited,,1992.0,1992.0,,,1992.0,1992-1996,38,34,,"eurodance, euro house, pop, house, synth-pop, europop, hip house, edm",1992.0,,,0,"Electronic/Dance, Pop",2,,,"Electronic/Dance, Pop",,,,,,,,,,,,,,,,,,,
20 fingers,9903.0,1592a0a6-c7aa-40d7-aa2d-2e3026bb85fa,,20 Fingers,1994.0,1994.0,1994.0,1.0,1.0,1994.0,1994-1994,14,30,30.0,"dance, house, techno, eurodance, edm",1994.0,,,0,Electronic/Dance,1,,,Electronic/Dance,Electronic/Dance,,,,,,,,,,,,,0.0052036605060111,732.961013986006,0.000689398688575,0.0015460212318201,1114.0,0.0
20/20,358051.0,e630876f-a9a3-4b23-8146-8fa65ba72b69,,20/20,,,,,,,1979-1981,0,0,,"punk, pop rock, metal",,,,0,"Metal, Pop, Punk/Hardcore",3,,,"Metal, Pop, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
21 savage,1277206.0,37b2cb82-ef79-4d46-a184-a549450aa231,1URnnhqYAYcrqrcwql10ft,21 Savage,2017.0,2016.0,2025.0,2.0,15.0,2016.0,2016-2025,28,14,41.0,"trap, hip hop, gangsta rap, southern hip hop, pop rap",2016.0,"hip hop, trap, euro house","Electronic/Dance, Hip Hop/Rap",2,Hip Hop/Rap,1,"['atl hip hop', 'rap', 'trap']",Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,,0.0028710349617967,5233.436038960664,0.0013256986295944,0.0797709020284447,3116.5,1.0
21 savage & baby tate,,,,21 Savage & Baby Tate,,2022.0,2022.0,,,2022.0,2022-2022,40,20,,,2022.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
213,2685137.0,0d18d604-a63c-4fd3-8bcb-81f427b8b556,,213,,,,,,,2004-2004,0,0,,"hip hop, g-funk, west coast hip hop",,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
21:03,740954.0,e91c8554-cf19-44d4-be70-fb5e68ce278a,,21:03,,,,,,,2015-2015,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
24-7 spyz,,,,24-7 SPYZ,,,,,,,1989-1990,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
24kgoldn,1851042.0,0fe5df51-ba65-4784-ba85-7d024a107a8a,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,2020.0,2019.0,2020.0,2.0,2.0,2019.0,2019-2021,92,1,52.0,"trap, hip hop, cloud rap, lo-fi hip hop, pop rap",2019.0,,,0,Hip Hop/Rap,1,"['cali rap', 'pop rap']",Hip Hop/Rap,Hip Hop/Rap,"Electronic/Dance, Hip Hop/Rap, Latin, Pop, R&B/Soul/Funk, Reggae/Caribbean, Rock",,,,,,,,,,,,,0.0012461613778984,5085.933730158298,0.0005988043463,0.0185418109253495,1336.0,0.0
2am club,716697.0,eb4b557d-5181-4720-b4e1-18719c6ca5bf,1Sjs7s2hvAakgayaa0f34j,2AM Club,,,,,,,2010-2010,0,0,,,,,,0,,0,[],,,,,,,,,,,,,,,,,,,,,
2cellos,809852.0,c8e94c78-0e17-4d9a-b1f6-96e1b22ebe97,,2Cellos,,2012.0,2012.0,,,2012.0,2011-2015,26,2,,"instrumental rock, symphonic rock, classical crossover, modern classical, neoclassical metal, orchestral, classical",2012.0,,,0,"Classical, Metal, Rock",3,,,"Classical, Metal, Rock",,,,,,,,,,,,,,,,,,,
2gether,,,,2Gether,,2000.0,2000.0,,,2000.0,2000-2000,87,3,,hip hop,2000.0,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
2nd ii none,50744.0,db759662-2053-4256-b803-4585f5bc2d40,,2nd II None,,1992.0,1992.0,,,1992.0,1991-1999,64,16,,"hip hop, west coast hip hop, gangsta rap",1992.0,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
2ne1,632863.0,e119e5ff-0de0-421c-a630-0516c6acede8,1l0mKo96Jh9HVYONcRl3Yp,2NE1,,,,,,,2014-2014,0,0,,"k-pop, hip hop, dance-pop, r&b",,,,0,"Hip Hop/Rap, Pop, R&B/Soul/Funk",3,"['dance pop', 'k-pop', 'k-pop girl group']",Pop,"Hip Hop/Rap, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
2nu,10805.0,ba746531-cdc9-4b5c-ba06-8dee515da255,,2nu,,1990.0,1990.0,,,1990.0,1990-1990,46,13,,,1990.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
2pac,163.0,382f1005-e9ab-4684-afd4-0bdae4ee37f2,1ZwdS5xdxEREPySFridCfh,2Pac,1993.0,1993.0,2008.0,1.0,2.0,1993.0,1992-2008,11,25,25.0,"gangsta rap, west coast hip hop, hip hop, political hip hop, conscious hip hop, g-funk, pop rap",1993.0,hip hop,Hip Hop/Rap,1,Hip Hop/Rap,1,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Hip Hop/Rap,Hip Hop/Rap,,259000.0,0.156,0.846,0.416,9.34e-06,0.238,-13.767,0.118,96.188,0.645,0.0,1.0,0.0044378698224852,597.9890054390096,0.0064720803906822,1.99655600468928e-05,289.5,1.0
2pac duet,,,,2Pac Duet,,1994.0,1994.0,,,1994.0,1994-1994,87,2,,,1994.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
2rare,2169909.0,a46875f6-dd94-464a-b3da-761e5fddbe92,,2Rare,,2023.0,2023.0,,,2023.0,2023-2023,85,5,,hip hop,2023.0,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
3,388657.0,0582b1b6-589c-488e-bcc5-8f7f4d0a958c,,3,,,,,,,1988-1988,0,0,,"alternative rock, neofolk, dream pop, industrial, dark ambient, electronic, shoegaze, avant-folk, post-grunge, poetry",,,,0,"Electronic/Dance, Folk, Rock",3,,,"Electronic/Dance, Folk, Rock",,,,,,,,,,,,,,,,,,,
3 doors down,1763.0,2386cd66-e923-4e8e-bf14-2eebe2e9b973,2RTUTCvo6onsAnheUk3aL9,3 Doors Down,2000.0,2000.0,2011.0,1.0,2.0,2000.0,2000-2016,3,53,53.0,"alternative rock, post-grunge, pop rock, hard rock, acoustic rock, southern rock, rock, alternative metal",2000.0,alternative rock,Rock,1,"Metal, Pop, Rock",3,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']","Metal, Pop, Rock","Metal, Pop, Rock","Blues, Metal, Rock",233933.0,0.00664,0.545,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,0.543,0.0,0.0,,,,,,1.0
3 inches of blood,135364.0,ba85753c-671a-409e-b813-1e3be41e2a2e,0gNkDUN42nBxKOcpoF7iQ4,3 Inches Of Blood,,,,,,,2007-2009,0,0,,power metal,,,,0,Metal,1,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']",Metal,Metal,,,,,,,,,,,,,,,,,,,
3 man island,1454739.0,e90b5ac4-6e33-434b-8ac8-d0b2b6101f86,,3 Man Island,,1988.0,1988.0,,,1988.0,1988-1988,94,2,,,1988.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
3 winans brothers,1165486.0,4d5ec280-3d1e-4a6d-b213-488532ef1d4a,,3 Winans Brothers,,,,,,,2014-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
30 secnds to mars,,,,30 Secnds To Mars,,,,,,,2005-2005,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
30 seconds to mars,,,,30 Seconds To Mars,,2006.0,2007.0,,,2006.0,2002-2007,65,20,,,2006.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
310babii,2609595.0,6f8848a5-8b8d-490f-8e78-20e4d8bad179,,310babii,,2023.0,2024.0,,,2023.0,2023-2024,68,3,,,2023.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
311,360.0,bf600e2b-dc2d-4839-a1be-6ebef4087cd0,,311,,2004.0,2004.0,,,2004.0,1994-2024,59,20,,"alternative rock, rap rock, rock, funk rock, reggae rock, reggae",2004.0,"rock, alternative rock, funk metal, rap rock","Metal, Rock",2,"Reggae/Caribbean, Rock",2,,,"Reggae/Caribbean, Rock",,,,,,,,,,,,,,,,,,,
33miles,450332.0,f2035c5e-5ab7-49f2-b1a4-2fe19ea61a61,,33Miles,,,,,,,2008-2008,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
347aidan,2077613.0,bbd1e260-e399-4e91-84eb-ac4c38861d94,,347aidan,,2022.0,2022.0,,,2022.0,2022-2022,60,5,,"emo pop, pop, trap",2022.0,,,0,"Hip Hop/Rap, Pop, Punk/Hardcore",3,,,"Hip Hop/Rap, Pop, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
36 crazyfists,50645.0,781167d7-b9e5-48ea-9f66-67c4a6739562,,36 Crazyfists,,,,,,,2008-2010,0,0,,"metalcore, metal, alternative metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
38 special,49819.0,0330a83d-f61e-4989-adb3-afce3943c3ba,3zXw2Eh96iTT51pytzHdZi,38 Special,1982.0,1980.0,1991.0,3.0,5.0,1980.0,1980-1991,43,9,17.0,"southern rock, hard rock, blues rock, arena rock, aor, pop rock, rock, classic rock",1980.0,southern rock,Rock,1,"Pop, Rock",2,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",Rock,"Pop, Rock","Pop, Rock",279333.0,0.0229,0.425,0.681,0.000219,0.0543,-8.604,0.0316,131.011,0.933,0.0,0.0,,,,,,0.0
3ballmty,873358.0,26a3bf81-5bf6-477f-8097-e4bc05e1e7ba,,3BallMTY,,,,,,,2012-2012,0,0,,"tribal guarachero, cumbia mexicana",,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
3lw,31353.0,fc9d0b71-d338-43bc-b2b1-f3f6d8f75b99,2lFHVcUeJ9Gq6AZiU3ZAOa,3LW,,2000.0,2002.0,,,2000.0,2000-2002,23,25,,"hip hop, soul, hip hop soul, teen pop, r&b, contemporary r&b",2000.0,,,0,"Hip Hop/Rap, Pop, R&B/Soul/Funk",3,"['contemporary r&b', 'girl group', 'hip pop', 'r&b', 'urban contemporary']","Hip Hop/Rap, R&B/Soul/Funk","Hip Hop/Rap, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
3oh!3,489045.0,125948ec-7f91-4d1a-8b83-accbf50fae3d,0FWzNDaEu9jdgcYTbcOa4F,3OH!3,2008.0,2008.0,2012.0,1.0,1.0,2008.0,2008-2016,7,37,37.0,"electronic, synth-pop, electropop, crunkcore, pop rock, alternative dance, pop, electronic rock",2008.0,,,0,"Electronic/Dance, Hip Hop/Rap, Pop, Rock",4,"['dance pop', 'electropowerpop', 'modern rock', 'pop punk', 'pop rap', 'post-teen pop']","Hip Hop/Rap, Pop, Punk/Hardcore, Rock","Electronic/Dance, Hip Hop/Rap, Pop, Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,1.0
3rd bass,38750.0,34ea2ef9-c05c-427e-a26f-0bb35c7d6524,,3rd Bass,,1991.0,1991.0,,,1991.0,1989-1991,29,13,,"hip hop, east coast hip hop",1991.0,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
3rd party,783264.0,fc1cfeca-2008-4695-9742-6510b5b007ff,,3rd Party,,1997.0,1997.0,,,1997.0,1997-1997,43,20,,punk,1997.0,,,0,Punk/Hardcore,1,,,Punk/Hardcore,,,,,,,,,,,,,,,,,,,
3rd storee,87626.0,5c7c00c5-ebf5-40d9-b0e8-9fb96acb5b9a,,3rd Storee,,,,,,,2002-2002,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
3rd strike,47719.0,49a442fe-c737-4d04-8fbc-bc46a4a2fce4,,3rd Strike,,,,,,,2002-2002,0,0,,"alternative metal, rap metal, rap rock, nu metal, metal, rock",,,,0,"Metal, Rock",2,,,"Metal, Rock",,,,,,,,,,,,,,,,,,,
3rdeyegirl,1060808.0,0c111654-2eb9-4729-8a27-7397d3db63e3,,3RDEYEGIRL,,,,,,,2014-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
3t,15127.0,8275ed69-a0f8-4bad-b6e0-2c57d306e593,5rAaG3OuMuWvPWYji9TDgh,3T,1995.0,1995.0,1995.0,1.0,1.0,1995.0,1995-1996,15,33,33.0,"industrial metal, psychedelic rock, acid rock, garage rock, industrial rock, hip hop, pop rap, pop",1995.0,,,0,"Hip Hop/Rap, Metal, Pop, Rock",4,"['boy band', 'contemporary r&b']",R&B/Soul/Funk,"Hip Hop/Rap, Metal, Pop, R&B/Soul/Funk, Rock","Hip Hop/Rap, R&B/Soul/Funk",321000.0,0.43,0.686,0.454,0.00021,0.286,-10.928,0.0328,131.977,0.645,0.0,0.0,0.0009534403305259,949.9836940836924,0.000481881754609,0.0018995655494755,199.0,0.0
3x krazy,168029.0,19794b61-7d73-41e5-b27e-a027a9ad5493,,3X Krazy,,,,,,,1997-1997,0,0,,hip hop,,,,0,Hip Hop/Rap,1,,,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
4 by four,1218456.0,f876119a-1717-41f6-9931-3247e9693df9,,4 By Four,,1987.0,1987.0,,,1987.0,1987-1987,79,6,,contemporary r&b,1987.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,,,,,,,,,,,,,,,,,,
4 non blondes,2280.0,efef848b-63e4-4323-8ef7-69a48fbdd51d,,4 Non Blondes,1993.0,1993.0,1993.0,1.0,1.0,1993.0,1993-1993,14,26,26.0,"pop rock, alternative rock",1993.0,,,0,"Pop, Rock",2,,,"Pop, Rock","Pop, Rock",,,,,,,,,,,,,,,,,,0.0
4 runner,53254.0,bc4758a5-7e54-4f33-aa97-3d179d8230ce,,4 Runner,,,,,,,1995-1995,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
4 the cause,10657.0,5681f2c8-2c78-464f-858e-2604838b16ec,,4 The Cause,,1998.0,1998.0,,,1998.0,1998-1998,82,5,,"pop, r&b",1998.0,,,0,"Pop, R&B/Soul/Funk",2,,,"Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
